Unit:(mV)
                     CH1         CH2
Frequency              ?  98.433 kHz
00445            -120.00     -160.00
00446            -100.00     -160.00
00447            -100.00     -160.00
00448            -100.00      -80.00
00449             -60.00      -80.00
00450             -60.00        0.00
00451             -60.00       80.00
00452             -60.00      160.00
00453             -40.00      160.00
00454             -40.00      240.00
00455             -20.00      160.00
00456             -20.00      320.00
00457             -20.00      320.00
00458              20.00      320.00
00459              20.00      400.00
00460              20.00      480.00
00461              40.00      560.00
00462              40.00      720.00
00463              40.00      640.00
00464             -20.00      560.00
00465              40.00      720.00
00466             100.00      880.00
00467             100.00      880.00
00468              40.00      720.00
00469             100.00      960.00
00470             140.00     1040.00
00471             100.00      880.00
00472             120.00     1040.00
00473             180.00     1200.00
00474             160.00     1120.00
00475             100.00     1120.00
00476             180.00     1280.00
00477             180.00     1280.00
00478             180.00     1280.00
00479             200.00     1440.00
00480             200.00     1440.00
00481             180.00     1440.00
00482             200.00     1520.00
00483             220.00     1520.00
00484             200.00     1520.00
00485             220.00     1760.00
00486             240.00     1600.00
00487             200.00     1760.00
00488             260.00     1760.00
00489             260.00     1840.00
00490             260.00     1840.00
00491             260.00     1920.00
00492             280.00     1920.00
00493             280.00     2000.00
00494             300.00     2080.00
00495             300.00     2080.00
00496             300.00     2160.00
00497             340.00     2160.00
00498             340.00     2240.00
00499             340.00     2240.00
00500             340.00     2400.00
00501             360.00     2400.00
00502             360.00     2480.00
00503             360.00     2400.00
00504             360.00     2480.00
00505             380.00     2560.00
00506             400.00     2560.00
00507             420.00     2640.00
00508             420.00     2720.00
00509             420.00     2800.00
00510             420.00     2800.00
00511             440.00     2800.00
00512             440.00     2880.00
00513             440.00     2880.00
00514             460.00     2960.00
00515             500.00     3040.00
00516             500.00     3040.00
00517             500.00     3120.00
00518             500.00     3120.00
00519             520.00     3200.00
00520             500.00     3280.00
00521             540.00     3280.00
00522             520.00     3360.00
00523             540.00     3360.00
00524             540.00     3440.00
00525             580.00     3440.00
00526             580.00     3520.00
00527             580.00     3520.00
00528             600.00     3520.00
00529             580.00     3680.00
00530             580.00     3680.00
00531             600.00     3680.00
00532             620.00     3760.00
00533             620.00     3760.00
00534             620.00     3840.00
00535             640.00     3760.00
00536             620.00     3920.00
00537             660.00     3920.00
00538             660.00     4000.00
00539             680.00     4000.00
00540             680.00     4080.00
00541             680.00     4080.00
00542             680.00     4160.00
00543             680.00     4160.00
00544             700.00     4240.00
00545             700.00     4240.00
00546             700.00     4320.00
00547             740.00     4400.00
00548             720.00     4320.00
00549             740.00     4480.00
00550             740.00     4400.00
00551             740.00     4480.00
00552             760.00     4480.00
00553             760.00     4480.00
00554             760.00     4560.00
00555             760.00     4640.00
00556             780.00     4640.00
00557             780.00     4720.00
00558             800.00     4720.00
00559             820.00     4800.00
00560             800.00     4800.00
00561             820.00     4880.00
00562             820.00     4960.00
00563             840.00     4960.00
00564             820.00     4960.00
00565             840.00     4960.00
00566             840.00     5040.00
00567             840.00     5040.00
00568             860.00     5120.00
00569             860.00     5200.00
00570             860.00     5120.00
00571             900.00     5200.00
00572             900.00     5280.00
00573             900.00     5280.00
00574             900.00     5280.00
00575             900.00     5360.00
00576             920.00     5360.00
00577             920.00     5440.00
00578             920.00     5440.00
00579             920.00     5440.00
00580             940.00     5600.00
00581             940.00     5600.00
00582             940.00     5600.00
00583             980.00     5680.00
00584             980.00     5600.00
00585             980.00     5680.00
00586             980.00     5680.00
00587            1000.00     5760.00
00588            1000.00     5840.00
00589            1000.00     5760.00
00590            1000.00     5840.00
00591            1000.00     5920.00
00592            1000.00     5920.00
00593            1020.00     5920.00
00594            1020.00     5920.00
00595            1060.00     6000.00
00596            1040.00     6080.00
00597            1020.00     6080.00
00598            1060.00     6080.00
00599            1060.00     6080.00
00600            1060.00     6160.00
00601            1060.00     6160.00
00602            1060.00     6240.00
00603            1080.00     6240.00
00604            1080.00     6320.00
00605            1080.00     6320.00
00606            1080.00     6320.00
00607            1100.00     6400.00
00608            1100.00     6400.00
00609            1100.00     6400.00
00610            1100.00     6400.00
00611            1100.00     6480.00
00612            1140.00     6480.00
00613            1140.00     6560.00
00614            1140.00     6560.00
00615            1140.00     6560.00
00616            1140.00     6560.00
00617            1140.00     6560.00
00618            1140.00     6560.00
00619            1140.00     6640.00
00620            1140.00     6640.00
00621            1160.00     6640.00
00622            1160.00     6720.00
00623            1160.00     6720.00
00624            1160.00     6720.00
00625            1180.00     6720.00
00626            1180.00     6720.00
00627            1180.00     6800.00
00628            1180.00     6880.00
00629            1180.00     6880.00
00630            1200.00     6880.00
00631            1180.00     6880.00
00632            1200.00     6960.00
00633            1220.00     6960.00
00634            1220.00     6960.00
00635            1220.00     6960.00
00636            1220.00     7040.00
00637            1220.00     7040.00
00638            1220.00     7040.00
00639            1220.00     7040.00
00640            1220.00     7040.00
00641            1240.00     7040.00
00642            1240.00     7040.00
00643            1240.00     7120.00
00644            1260.00     7120.00
00645            1260.00     7200.00
00646            1260.00     7200.00
00647            1260.00     7280.00
00648            1260.00     7200.00
00649            1260.00     7280.00
00650            1260.00     7280.00
00651            1260.00     7280.00
00652            1260.00     7280.00
00653            1300.00     7280.00
00654            1300.00     7280.00
00655            1280.00     7360.00
00656            1300.00     7280.00
00657            1300.00     7360.00
00658            1300.00     7360.00
00659            1300.00     7360.00
00660            1320.00     7360.00
00661            1300.00     7440.00
00662            1320.00     7360.00
00663            1320.00     7440.00
00664            1320.00     7440.00
00665            1320.00     7520.00
00666            1320.00     7440.00
00667            1320.00     7520.00
00668            1320.00     7520.00
00669            1320.00     7520.00
00670            1320.00     7600.00
00671            1320.00     7520.00
00672            1320.00     7520.00
00673            1320.00     7520.00
00674            1340.00     7520.00
00675            1320.00     7520.00
00676            1340.00     7520.00
00677            1340.00     7520.00
00678            1340.00     7600.00
00679            1340.00     7600.00
00680            1340.00     7600.00
00681            1340.00     7600.00
00682            1340.00     7600.00
00683            1340.00     7600.00
00684            1340.00     7600.00
00685            1320.00     7600.00
00686            1340.00     7600.00
00687            1320.00     7600.00
00688            1340.00     7600.00
00689            1340.00     7600.00
00690            1360.00     7680.00
00691            1340.00     7600.00
00692            1340.00     7600.00
00693            1340.00     7600.00
00694            1360.00     7680.00
00695            1340.00     7680.00
00696            1340.00     7680.00
00697            1340.00     7600.00
00698            1340.00     7680.00
00699            1360.00     7600.00
00700            1340.00     7600.00
00701            1380.00     7600.00
00702            1340.00     7600.00
00703            1380.00     7600.00
00704            1360.00     7680.00
00705            1340.00     7680.00
00706            1380.00     7600.00
00707            1360.00     7680.00
00708            1340.00     7600.00
00709            1380.00     7600.00
00710            1380.00     7680.00
00711            1380.00     7680.00
00712            1360.00     7600.00
00713            1380.00     7680.00
00714            1380.00     7680.00
00715            1360.00     7680.00
00716            1380.00     7680.00
00717            1380.00     7600.00
00718            1380.00     7600.00
00719            1340.00     7680.00
00720            1380.00     7600.00
00721            1380.00     7600.00
00722            1380.00     7600.00
00723            1380.00     7600.00
00724            1340.00     7600.00
00725            1340.00     7600.00
00726            1380.00     7600.00
00727            1340.00     7600.00
00728            1380.00     7520.00
00729            1380.00     7600.00
00730            1340.00     7520.00
00731            1340.00     7520.00
00732            1360.00     7520.00
00733            1360.00     7520.00
00734            1340.00     7520.00
00735            1360.00     7520.00
00736            1340.00     7520.00
00737            1340.00     7520.00
00738            1340.00     7520.00
00739            1340.00     7520.00
00740            1340.00     7520.00
00741            1340.00     7520.00
00742            1340.00     7440.00
00743            1340.00     7440.00
00744            1320.00     7440.00
00745            1320.00     7440.00
00746            1320.00     7360.00
00747            1320.00     7440.00
00748            1320.00     7360.00
00749            1320.00     7360.00
00750            1320.00     7360.00
00751            1320.00     7360.00
00752            1320.00     7360.00
00753            1320.00     7280.00
00754            1300.00     7280.00
00755            1300.00     7200.00
00756            1300.00     7200.00
00757            1300.00     7200.00
00758            1300.00     7280.00
00759            1300.00     7200.00
00760            1300.00     7200.00
00761            1300.00     7200.00
00762            1260.00     7200.00
00763            1300.00     7120.00
00764            1300.00     7120.00
00765            1280.00     7040.00
00766            1260.00     7040.00
00767            1260.00     7040.00
00768            1260.00     7040.00
00769            1260.00     7040.00
00770            1260.00     7040.00
00771            1260.00     6960.00
00772            1260.00     7040.00
00773            1260.00     6960.00
00774            1240.00     6960.00
00775            1240.00     6880.00
00776            1260.00     6880.00
00777            1240.00     6880.00
00778            1240.00     6880.00
00779            1240.00     6800.00
00780            1240.00     6880.00
00781            1240.00     6800.00
00782            1220.00     6720.00
00783            1220.00     6720.00
00784            1220.00     6720.00
00785            1220.00     6720.00
00786            1220.00     6720.00
00787            1220.00     6720.00
00788            1220.00     6640.00
00789            1220.00     6640.00
00790            1220.00     6560.00
00791            1220.00     6560.00
00792            1200.00     6560.00
00793            1180.00     6560.00
00794            1180.00     6480.00
00795            1180.00     6480.00
00796            1220.00     6480.00
00797            1160.00     6400.00
00798            1180.00     6400.00
00799            1160.00     6400.00
00800            1160.00     6320.00
00801            1160.00     6320.00
00802            1160.00     6240.00
00803            1160.00     6320.00
00804            1160.00     6240.00
00805            1140.00     6240.00
00806            1140.00     6240.00
00807            1140.00     6080.00
00808            1120.00     6080.00
00809            1140.00     6080.00
00810            1120.00     6080.00
00811            1100.00     6000.00
00812            1100.00     6000.00
00813            1080.00     6000.00
00814            1080.00     5920.00
00815            1080.00     5920.00
00816            1080.00     5920.00
00817            1080.00     5920.00
00818            1080.00     5760.00
00819            1060.00     5760.00
00820            1060.00     5760.00
00821            1060.00     5760.00
00822            1060.00     5760.00
00823            1060.00     5680.00
00824            1040.00     5600.00
00825            1040.00     5600.00
00826            1020.00     5600.00
00827            1020.00     5520.00
00828            1000.00     5520.00
00829            1000.00     5440.00
00830            1000.00     5440.00
00831            1000.00     5440.00
00832            1000.00     5360.00
00833             980.00     5360.00
00834             980.00     5280.00
00835             980.00     5280.00
00836             980.00     5200.00
00837             980.00     5280.00
00838             940.00     5200.00
00839             960.00     5120.00
00840             940.00     5120.00
00841             940.00     5120.00
00842             940.00     5040.00
00843             920.00     5040.00
00844             940.00     4960.00
00845             920.00     4960.00
00846             920.00     4880.00
00847             920.00     4880.00
00848             900.00     4800.00
00849             900.00     4800.00
00850             860.00     4720.00
00851             900.00     4720.00
00852             860.00     4720.00
00853             860.00     4640.00
00854             860.00     4640.00
00855             860.00     4640.00
00856             840.00     4480.00
00857             840.00     4480.00
00858             840.00     4400.00
00859             840.00     4400.00
00860             820.00     4320.00
00861             820.00     4320.00
00862             820.00     4320.00
00863             820.00     4320.00
00864             800.00     4240.00
00865             780.00     4160.00
00866             780.00     4160.00
00867             760.00     4080.00
00868             760.00     4000.00
00869             760.00     4000.00
00870             760.00     4000.00
00871             760.00     3840.00
00872             740.00     3920.00
00873             740.00     3840.00
00874             740.00     3760.00
00875             720.00     3680.00
00876             700.00     3760.00
00877             700.00     3760.00
00878             700.00     3600.00
00879             680.00     3600.00
00880             680.00     3520.00
00881             660.00     3520.00
00882             680.00     3440.00
00883             660.00     3360.00
00884             660.00     3360.00
00885             640.00     3360.00
00886             640.00     3360.00
00887             620.00     3360.00
00888             600.00     3200.00
00889             620.00     3200.00
00890             600.00     3120.00
00891             600.00     3120.00
00892             600.00     3040.00
00893             580.00     3040.00
00894             580.00     2960.00
00895             580.00     2880.00
00896             540.00     2880.00
00897             540.00     2880.00
00898             540.00     2800.00
00899             540.00     2720.00
00900             520.00     2720.00
00901             520.00     2720.00
00902             520.00     2560.00
00903             500.00     2560.00
00904             520.00     2480.00
00905             500.00     2480.00
00906             460.00     2480.00
00907             480.00     2400.00
00908             460.00     2400.00
00909             440.00     2320.00
00910             440.00     2240.00
00911             440.00     2240.00
00912             440.00     2240.00
00913             440.00     2160.00
00914             420.00     2080.00
00915             420.00     2000.00
00916             420.00     2000.00
00917             400.00     1920.00
00918             380.00     1920.00
00919             420.00     1920.00
00920             380.00     1840.00
00921             380.00     1840.00
00922             360.00     1760.00
00923             360.00     1680.00
00924             360.00     1600.00
00925             340.00     1600.00
00926             340.00     1520.00
00927             340.00     1440.00
00928             300.00     1440.00
00929             300.00     1440.00
00930             300.00     1360.00
00931             280.00     1280.00
00932             280.00     1200.00
00933             280.00     1280.00
00934             260.00     1200.00
00935             260.00     1120.00
00936             260.00     1120.00
00937             260.00     1120.00
00938             240.00     1040.00
00939             220.00      960.00
00940             220.00      880.00
00941             200.00      880.00
00942             200.00      800.00
00943             200.00      800.00
00944             180.00      720.00
00945             180.00      720.00
00946             160.00      640.00
00947             140.00      560.00
00948             140.00      480.00
00949             140.00      480.00
00950             120.00      480.00
00951             120.00      320.00
00952             100.00      320.00
00953             100.00      320.00
00954             100.00      240.00
00955             100.00      160.00
00956              60.00      160.00
00957              60.00      160.00
00958              60.00        0.00
00959              40.00        0.00
00960              40.00      -80.00
00961              40.00      -80.00
00962              40.00     -160.00
00963              20.00     -160.00
00964              20.00     -160.00
00965              20.00     -320.00
00966              20.00     -320.00
00967             -20.00     -320.00
00968             -20.00     -400.00
00969             -40.00     -400.00
00970             -20.00     -400.00
00971             -40.00     -560.00
00972            -100.00     -720.00
00973            -120.00     -800.00
00974            -100.00     -640.00
00975             -40.00     -560.00
00976             -60.00     -800.00
00977            -120.00     -960.00
00978            -120.00     -800.00
00979             -60.00     -880.00
00980            -140.00    -1040.00
00981            -140.00    -1040.00
00982            -100.00     -960.00
00983            -140.00    -1120.00
00984            -180.00    -1120.00
00985            -140.00    -1120.00
00986            -180.00    -1360.00
00987            -180.00    -1280.00
00988            -180.00    -1280.00
00989            -200.00    -1360.00
00990            -200.00    -1440.00
00991            -200.00    -1440.00
00992            -220.00    -1520.00
00993            -220.00    -1600.00
00994            -220.00    -1600.00
00995            -260.00    -1680.00
00996            -280.00    -1680.00
00997            -260.00    -1760.00
00998            -260.00    -1760.00
00999            -280.00    -1840.00
01000            -280.00    -1840.00
01001            -300.00    -2000.00
01002            -280.00    -1920.00
01003            -300.00    -2000.00
01004            -320.00    -2080.00
01005            -340.00    -2080.00
01006            -340.00    -2240.00
01007            -360.00    -2160.00
01008            -360.00    -2240.00
01009            -360.00    -2320.00
01010            -380.00    -2320.00
01011            -380.00    -2400.00
01012            -420.00    -2400.00
01013            -380.00    -2560.00
01014            -420.00    -2560.00
01015            -420.00    -2560.00
01016            -440.00    -2640.00
01017            -440.00    -2640.00
01018            -440.00    -2720.00
01019            -460.00    -2720.00
01020            -460.00    -2880.00
01021            -460.00    -2880.00
01022            -460.00    -2880.00
01023            -460.00    -2960.00
01024            -500.00    -2960.00
01025            -520.00    -2960.00
01026            -500.00    -3040.00
01027            -520.00    -3120.00
01028            -540.00    -3200.00
01029            -520.00    -3200.00
01030            -540.00    -3280.00
01031            -540.00    -3360.00
01032            -580.00    -3360.00
01033            -560.00    -3360.00
01034            -580.00    -3360.00
01035            -580.00    -3440.00
01036            -580.00    -3440.00
