Unit:(mV)
                     CH1         CH2
Frequency              ?  72.935 kHz
00332              -2.00     -920.00
00333              -4.00     -920.00
00334              -2.00     -920.00
00335              -4.00     -920.00
00336              -4.00     -920.00
00337              -4.00     -920.00
00338              -4.00     -920.00
00339              -6.00     -920.00
00340              -2.00     -880.00
00341              -6.00     -880.00
00342              -4.00     -880.00
00343               2.00     -880.00
00344              -4.00     -880.00
00345              -2.00     -880.00
00346             -10.00     -880.00
00347              -2.00     -840.00
00348              -6.00     -840.00
00349              -4.00     -840.00
00350               2.00     -840.00
00351              -6.00     -840.00
00352               0.00     -800.00
00353              -6.00     -840.00
00354              -6.00     -840.00
00355               2.00     -800.00
00356              -4.00     -800.00
00357              -4.00     -800.00
00358              -2.00     -800.00
00359              -6.00     -760.00
00360              -4.00     -800.00
00361               2.00     -800.00
00362              -4.00     -760.00
00363              -6.00     -720.00
00364               2.00     -720.00
00365              -4.00     -720.00
00366              -4.00     -720.00
00367              -4.00     -720.00
00368              -6.00     -720.00
00369              -2.00     -720.00
00370              -2.00     -680.00
00371              -6.00     -680.00
00372              -2.00     -680.00
00373              -4.00     -680.00
00374              -6.00     -680.00
00375              -4.00     -680.00
00376              -2.00     -640.00
00377              -4.00     -640.00
00378              -2.00     -640.00
00379              -2.00     -640.00
00380              -4.00     -640.00
00381               0.00     -640.00
00382              -4.00     -600.00
00383               0.00     -600.00
00384              -4.00     -560.00
00385              -4.00     -560.00
00386               0.00     -560.00
00387              -4.00     -560.00
00388              -2.00     -560.00
00389              -2.00     -560.00
00390              -4.00     -520.00
00391              -4.00     -520.00
00392              -2.00     -480.00
00393              -2.00     -480.00
00394              -4.00     -480.00
00395              -2.00     -480.00
00396              -2.00     -480.00
00397              -2.00     -480.00
00398              -2.00     -440.00
00399              -4.00     -480.00
00400              -4.00     -440.00
00401              -4.00     -400.00
00402              -2.00     -440.00
00403              -4.00     -440.00
00404              -2.00     -400.00
00405              -4.00     -400.00
00406              -4.00     -400.00
00407              -2.00     -400.00
00408              -6.00     -360.00
00409              -6.00     -360.00
00410              -2.00     -360.00
00411              -6.00     -360.00
00412               0.00     -320.00
00413              -4.00     -360.00
00414              -4.00     -320.00
00415              -2.00     -280.00
00416              -6.00     -320.00
00417              -2.00     -320.00
00418               0.00     -280.00
00419              -6.00     -240.00
00420               0.00     -240.00
00421              -2.00     -240.00
00422              -4.00     -240.00
00423               2.00     -240.00
00424              -2.00     -200.00
00425              -4.00     -200.00
00426               2.00     -160.00
00427              -4.00     -200.00
00428              -2.00     -160.00
00429               0.00     -160.00
00430              -4.00     -160.00
00431               2.00     -160.00
00432              -4.00     -160.00
00433              -2.00     -120.00
00434              -2.00     -160.00
00435              -4.00     -120.00
00436              -4.00      -80.00
00437              -4.00      -80.00
00438              -2.00      -80.00
00439              -4.00      -80.00
00440               0.00      -40.00
00441              -4.00      -40.00
00442              -6.00      -40.00
00443               4.00        0.00
00444              42.00        0.00
00445             104.00        0.00
00446            -250.00        0.00
00447             250.00      160.00
00448            -250.00        0.00
00449             250.00      120.00
00450            -208.00        0.00
00451             198.00      -40.00
00452             -62.00        0.00
00453            -134.00       80.00
00454             188.00      200.00
00455            -188.00      280.00
00456             118.00      240.00
00457            -108.00       80.00
00458             194.00      120.00
00459            -226.00      -40.00
00460             238.00      160.00
00461            -226.00      120.00
00462             154.00      240.00
00463            -134.00      280.00
00464             102.00      160.00
00465             -84.00      240.00
00466              82.00      120.00
00467             -54.00      160.00
00468              18.00      200.00
00469              -2.00      240.00
00470             -22.00      280.00
00471              12.00      280.00
00472             -18.00      320.00
00473               6.00      280.00
00474               6.00      280.00
00475             -18.00      240.00
00476              12.00      360.00
00477              -8.00      360.00
00478              -4.00      360.00
00479              -6.00      400.00
00480              -2.00      360.00
00481              -4.00      400.00
00482              10.00      360.00
00483             -12.00      400.00
00484               4.00      400.00
